Tag	Tag File Name	Seq	Folder	Title	Author
equality	equality.html	3	quotes	Liberalism is not Socialism	Winston Churchill
equality	equality.html	3	quotes	A multiethnic democracy in which no particular ethnic group is in the majority	Danielle Allen
equality	equality.html	3	quotes	No person in America should be too poor to live	Alexandria Ocasio-Cortez
equality	equality.html	3	quotes	Peace with Justice	Dwight D. Eisenhower
equality	equality.html	3	quotes	The Philosophy of Jazz	Wynton Marsalis
equality	equality.html	3	quotes	A Progressive Annual Tax on Capital	Thomas Piketty
equality	equality.html	3	quotes	Public morality	Robert B. Reich
equality	equality.html	3	quotes	Set off from the rest by a line drawn	Walt Whitman
equality	equality.html	3	quotes	To live wisely and agreeably and well	John Maynard Keynes
equality	equality.html	3	quotes	The Trick in Keeping Bands Together	Bruce Springsteen
equality	equality.html	3	quotes	Two ideas of government	William Jennings Bryan
equality	equality.html	3	quotes	The Ultimate Democracy	Paul McCartney
equality	equality.html	3	quotes	The US remains astonishingly backward when it comes to education	Anu Partanen
equality	equality.html	3	quotes	We All Derive From the Same Source	Henry Miller
equality	equality.html	3	quotes	We have wonderful arguments	Steve Jobs
equality	equality.html	3	quotes	We Must Respect the Other Fellow's Religion	H. L. Mencken
equality	equality.html	3	quotes	What would a new social compact look like?	Edward Luce
equality	equality.html	3	quotes	White people will have quite enough to do	James Baldwin
evolution	evolution.html	3	quotes	Apes and Humans	Carl Sagan and Ann Druyan
evolution	evolution.html	3	quotes	The chicken experiment	David Sloan Wilson
evolution	evolution.html	3	quotes	Competition is not separable from endless flavors of cooperation	Richard Powers
evolution	evolution.html	3	quotes	Evolutionary Drive Towards Complexity	Richard Dawkins
evolution	evolution.html	3	quotes	Living in small groups has been baked into our psyches	David Sloan Wilson
evolution	evolution.html	3	quotes	The malleability of life	David Sloan Wilson
evolution	evolution.html	3	quotes	Small groups are a fundamental unit of human social organization	David Sloan Wilson
evolution	evolution.html	3	quotes	Which side will lose by winning	Richard Powers
evolution	evolution.html	3	quotes	A working simple system	John Gall
family	family.html	3	quotes	Many humans just don't like their families	David Graeber and David Wengrow
governance	governance.html	3	quotes	Balance is Required to Maintain Democracy	Wynton Marsalis
